lemma,Norval_frame,UD_frame,example,theta1,theta2,theta3,theta4
anstille,tr,nsubj-obj,vi anstiller undersøkelser,agent,patient,,
anstrenge,tr,nsubj-obj,hun anstrenger foten,agent,patient,,
anstrenge,tr-obRefl,nsubj-obj,hun anstrenger seg,agent,null-role,,
anstå,trExpnSu-obRefl-expnAbsinf,expl-obj-csubj,det anstår seg å gå i hvitt,formal,null-role,theme,
anstå,trExpnSu-obRefl-expnDECL,expl-obj-csubj,det anstår seg at man går i hvitt,formal,null-role,theme,
anstå,tr-obRefl,nsubj-obj,det anstår seg,theme,null-role,,
ansøke-om,intrObl-oblEqSuInf,nsubj-advcl,hun ansøker om å få stillingen,agent,topic,,
ansøke-om,intrObl-oblN,nsubj-obl,vi ansøker om stillingen,agent,topic,,
ansøke-om,trObl-oblEqSuInf,nsubj-obj-advcl,hun ansøker dem om å få stillingen,agent,recipient,topic,
ansøke-om,trObl-oblN,nsubj-obj-obl,de ansøker dem om stillingene,agent,recipient,topic,
antagonisere,tr,nsubj-obj,han antagoniserer folk,agent,theme,,
antaste,tr,nsubj-obj,han antaster de ansatte,agent,patient,,
anta,tr,nsubj-obj,vi antar forslaget,agent,theme,,
anta,tr-obDECL,nsubj-ccomp,vi antar at det går bra,agent,theme,,
anta,tr-obINTERR,nsubj-ccomp,jeg antar hva det betyr,agent,theme,,
anta,trScpr-scObNrg-scInf,nsubj-obj-xcomp,vi antar henne å være kompetent,agent,theme,attribute,
anta,trScpr-scPasscmplx,nsubj-obj-xcomp,vi antar arten utryddet,agent,theme,attribute,
antedatere,tr,nsubj-obj,vi antedaterer brevet,agent,theme,,
antegne,tr,nsubj-obj,vi antegner aksjene,agent,,,
antenne,tr,nsubj-obj,de antenner låven,agent,patient,,
antesipere,tr,nsubj-obj,vi antesiperer utviklingen,pivot,theme,,
antikisere,tr,nsubj-obj,vi antikiserer apparatene,agent,patient,,
antikrympbehandle,tr,nsubj-obj,vi antikrympbehandler stoffet,agent,patient,,
antikrøllbehandle,tr,nsubj-obj,vi antikrøllbehandler stoffet,agent,patient,,
antirefleksbehandle,tr,nsubj-obj,vi antirefleksbehandler overflaten,agent,patient,,
antirustbehandle,tr,nsubj-obj,vi antirustbehandler metallet,agent,patient,,
antistatbehandle,tr,nsubj-obj,vi antistatbehandler skjermen,agent,patient,,
antyde,tr,nsubj-obj,dette antyder løsningen,agent,topic,,
antyde,tr,nsubj-obj,skiltet antyder løsningen,pivot,theme,,
antyde,tr-obDECL,nsubj-ccomp,de antyder at det kan bli krig,agent,topic,,
antyde,tr-obDECL,nsubj-ccomp,nyheten antyder at det kan bli krig,pivot,theme,,
antyde,tr-obINTERR,nsubj-ccomp,hun antyder hvem som kommer,agent,topic,,
antyde,tr-obINTERR,nsubj-ccomp,skiltet antyder hvem som kommer,pivot,theme,,
antyde,tr-suDECL,csubj-obj,at så mange kommer antyder problemer,pivot,topic,,
antyde,tr-suDECL-obDECL,csubj-ccomp,at det regner antyder at vinden har snudd,pivot,topic,,
antyde,tr-suINTERR-obINTERR,csubj-ccomp,hvem som kommer vil antyde hva vi kan vente,pivot,topic,,
anvende,tr,nsubj-obj,vi anvender fremgangsmåten,agent,theme,,
anvise,ditr,nsubj-iobj-obj,hun anviser deg retningen,agent,recipient,theme,
anvise-til,trObl-oblN,nsubj-obj-obl,vi anviser dem til informasjonskontoret,agent,theme,destination,
anvise,tr,nsubj-obj,vi anviser fakturaen,agent,theme,,
ape-etter,intrObl-oblINTERR,nsubj-advcl,vi aper etter hva de sier,agent,theme,,
ape-etter,intrObl-oblN,nsubj-obl,vi aper etter uttalemåten,agent,theme,,
apokopere,intr,nsubj,trøndere apokoperer mye,agent,,,
apokopere,intr,nsubj,trøndersk apokoperer mye,theme,,,
appellere-til,intrObl-oblN,nsubj-obl,vi appellerer til domstolen,agent,recipient,,
appellere,tr,nsubj-obj,vi appellerer dommen,agent,topic,,
applaudere,intr,nsubj,tilhørerne applauderer,agent,,,
applaudere,tr,nsubj-obj,de applauderer kongen,agent,recipient,,
applaudere,tr,nsubj-obj,tilhørerne applauderer forestillingen,agent,theme,,
applikere,intr,nsubj,han applikerer,agent,,,
applikere,tr,nsubj-obj,han applikerer skoen,agent,patient,,
applisere-på,trObl-oblN,nsubj-obj-obl,vi appliserer dem på nye tilfeller,agent,theme,goal,
applisere,tr,nsubj-obj,vi appliserer metoden,agent,theme,,
apportere,intr,nsubj,hunden apporterer,agent,,,
apportere,tr,nsubj-obj,hunden apporterer pinnen,agent,theme,,
approbere,tr,nsubj-obj,vi approberer forslaget,agent,,,
approbere,tr-obDECL,nsubj-ccomp,styret approberer at de kan møtes,agent,theme,,
appropriere,tr,nsubj-obj,kommunen approprierer eiendommen,agent,theme,,
arbeide-for,intrObl-oblDECL,nsubj-advcl,vi arbeider for at verden skal bli bedre,agent,theme,,
arbeide-for,intrObl-oblEqSuInf,nsubj-advcl,vi arbeider for å skape gode relasjoner,agent,theme,,
arbeide-for,intrObl-oblN,nsubj-obl,han arbeider for kirken,agent,theme,,
arbeide-for,intrObl-oblN,nsubj-obl,vi arbeider for fred,agent,theme,,
arbeide-inn,trPrtcl-obDECL,nsubj-ccomp,hun vil arbeide inn at det skjedde,agent,theme,,
arbeide,intr-suDir,nsubj-obl,de arbeider mot et mål,agent,theme,,
arbeide-som,intrLghtScpr-scSuNrg-scPredprtcl,nsubj-xcomp,han arbeider som portør,agent,attribute,,
arbeide,tr,nsubj-obj,vi arbeider en ekstra økt,agent,duration,,
arge,tr,nsubj-obj,vi arger tilskuerne,stimulus,experiencer,,
argumentere-for,intrObl-oblAbsinf,nsubj-advcl,vi argumenterer for å innføre minstelønn,agent,topic,,
argumentere-for,intrObl-oblDECL,nsubj-advcl,vi argumenterer for at det skal bli lik lønn,agent,topic,,
argumentere-for,intrObl-oblN,nsubj-obl,vi argumenterer for løsningen,agent,topic,,
argumentere,intr,nsubj,partene argumenterer fortsatt,agent,,,
argumentere-med,intrObl-oblN,nsubj-obl,vi argumenterer med møtedeltagerne,agent,co-agent,,
argumentere-mot,intrObl-oblDECL,nsubj-advcl,vi argumenterer mot at det blir kutt i pensjonenet,agent,topic,,
argumentere-mot,intrObl-oblEqSuInf,nsubj-advcl,vi argumenterer mot å arbeide ekstra skift,agent,topic,,
argumentere-mot,intrObl-oblN,nsubj-obl,vi argumenterer mot forslaget,agent,topic,,
arkaisere,tr,nsubj-obj,vi arkaiserer ordtilfanget,agent,patient,,
arkivere,tr,nsubj-obj,vi arkiverer avhandlingene,agent,theme,,
armere,tr,nsubj-obj,vi armerer jernet,agent,patient,,
arme-ut,trPrtcl,nsubj-obj,vi armer ut jordsmonnet,agent,patient,,
aromatisere,tr,nsubj-obj,vi aromatiserer kaffen,agent,patient,,
arrangere,tr,nsubj-obj,vi arrangerer sammenkomster,agent,theme,,
arrangere,tr-obDECL,nsubj-ccomp,de arrangerer at folk får si sin mening,agent,theme,,
arrangere,tr-obEqSuInf,nsubj-xcomp,de arrangerer å kunne gripe inn,agent,theme,,
arrangere,tr-obINTERR,nsubj-ccomp,de arrangerer hva som vil bli tillatt,agent,theme,,
arrestere-for,trObl-oblN,nsubj-obj-obl,de arresterer ham for mord,agent,patient,theme,
arrestere,tr,nsubj-obj,de arresterer demonstrantene,agent,patient,,
arrivere,intr,nsubj,primadonnaen arriverer,theme,,,
arte-som,trScpr-obRefl-scPredprtcl,nsubj-obj-xcomp,dette arter seg som en komedie,theme,null-role,attribute,
artikulere,tr,nsubj-obj,han artikulerer sitt syn,agent,topic,,
artikulere,tr-obRefl,nsubj-obj,hun artikulerer seg,agent,null-role,,
artsbestemme,tr,nsubj-obj,vi artsbestemmer dyrene,agent,theme,,
arve-fra,trObl-oblN,nsubj-obj-obl,vi arver møblene fra besteforeldrene,agent,theme,source,
arve,tr,nsubj-obj,vi arver møblene,agent,theme,,
asfaltere,tr,nsubj-obj,de asfalterer veien,agent,destination,,
aspirere-til,intrObl-oblN,nsubj-obl,hun aspirerer til mellomleder,pivot,theme,,
aspirere,tr,nsubj-obj,lydens posisjon aspirerer konsonanten,cause,patient,,
aspirere,tr,nsubj-obj,taleren aspirerer konsonanten,agent,patient,,
assimilere,tr,nsubj-obj,loven assimilerer de nye innflytterne,cause,patient,,
assimilere,tr,nsubj-obj,samfunnet assimilerer de nye innflytterne,agent,patient,,
assistere,tr,nsubj-obj,han assisterer montøren,agent,beneficiary,,
assortere,tr,nsubj-obj,vi assorterer varene,agent,theme,,
assosiere-med,trObl-oblN,nsubj-obj-obl,vi assosierer skyformasjonene med ulykke,agent,patient,co-patient,
assosiere-med,trObl-obRefl-oblN,nsubj-obj-obl,hun assosierer seg med demonstrantene,agent,patient,co-patient,
assurere-mot,trObl-oblN,nsubj-obj-obl,vi assurerer dem mot pandemier,agent,beneficiary,theme,
assurere-mot,trObl-obRefl-oblN,nsubj-obj-obl,hun assurerer seg mot brann,agent,beneficiary,theme,
assurere,tr,nsubj-obj,vi assurerer bygningene,agent,beneficiary,,
assurere,tr-obRefl,nsubj-obj,hun assurerer seg,agent,beneficiary,,
atomavkjerne,tr,nsubj-obj,de atomavkjerner stoffet,agent,patient,,
atomisere,tr,nsubj-obj,de atomiserer bygningen,agent,patient,,
atrofiere,intr,nsubj,stoffet atrofierer,patient,,,
atskille-fra,trObl-oblN,nsubj-obj-obl,vi atskiller dem fra hverandre,agent,patient,co-patient,
atskille-fra,trObl-obRefl-oblN,nsubj-obj-obl,hun atskiller seg fra andre,agent,patient,co-patient,
atskille,tr,nsubj-obj,vi atskiller partene,agent,patient,,
atsprede,tr,nsubj-obj,vi atspreder gjestene,stimulus,experiencer,,
atsprede,tr-obRefl,nsubj-obj,gjestene atspreder seg,stimulus,experiencer,,
atspre,tr,nsubj-obj,vi atsprer gjestene,stimulus,experiencer,,
atspre,tr-obRefl,nsubj-obj,hun atsprer seg,stimulus,experiencer,,
attachere,ditr-iobRefl,nsubj-iobj-obj,hun attacherer seg et adgangsbevis,agent,null-role,theme,
attachere-til,trObl-oblN,nsubj-obj-obl,vi attacherer konvolutten til brevet,agent,patient,co-patient,
attachere,tr,nsubj-obj,vi attacherer dokumentet,agent,patient,,
attakkere,tr,nsubj-obj,vi attakkerer firmaene,agent,patient,,
attestere,tr,nsubj-obj,vi attesterer søknaden,agent,theme,,
attestere,tr-obDECL,nsubj-ccomp,vi attesterer at det går bra,agent,theme,,
attrahere,tr,nsubj-obj,magnaten attraherer damene,stimulus,experiencer,,
attrahere,tr,nsubj-obj,magneten attraherer jernstykkene,cause,theme,,
attrå,tr,nsubj-obj,jeg attrår henne,pivot,theme,,
auke,intr,nsubj,vi auker,patient,,,
auke-på,intrPrtcl,nsubj,de auker på,patient,,,
auke,tr,nsubj-obj,høydeforskjellen auker farten,cause,patient,,
auke,tr,nsubj-obj,vi auker farten,agent,patient,,
auksjonere-bort,trPrtcl,nsubj-obj,vi auksjonerer bort gården,agent,theme,,
aure,intr,nsubj,vi aurer,theme,,,
ause,intr-suDir,nsubj-obl,båtmannskapet auser ut,agent,orientation,,
ause-opp-over,trPrtclObl-obRefl-oblDECL,nsubj-obj-advcl,hun auser seg opp over at hun måtte gå ut,experiencer,null-role,stimulus,
ause-opp-over,trPrtclObl-obRefl-oblEqObInf,nsubj-obj-advcl,hun auser seg opp over å måtte gå ut,experiencer,null-role,stimulus,
ause-opp-over,trPrtclObl-obRefl-oblINTERR,nsubj-obj-advcl,hun auser seg opp over hva hun fikk høre,experiencer,null-role,stimulus,
ause-opp-over,trPrtclObl-obRefl-oblN,nsubj-obj-obl,hun auser seg opp over nederlager,experiencer,null-role,stimulus,
ause-opp,trPrtcl-obRefl,nsubj-obj,hun auser seg opp,experiencer,null-role,,
ause,tr,nsubj-obj,båtmannskapet auser båten,agent,patient,,
ause,tr-obDir,nsubj-obj-obl,de auser vannet i spannet,agent,theme,orientation,
autokorrigere,tr,nsubj-obj,de autokorrigerte avsnittet,agent,patient,,
autokorrigere,tr,nsubj-obj,maskinen autokorrigerte avsnittet,cause,patient,,
automatisere,tr,nsubj-obj,systemet automatiserer tjenestene,cause,patient,,
automatisere,tr,nsubj-obj,vi automatiserer tjenestene,agent,patient,,
autorisere-for,trObl-oblEqObInf,nsubj-obj-advcl,vi autoriserer dem for å behandle kjemikalier,agent,theme,result,
autorisere-for,trObl-oblN,nsubj-obj-obl,vi autoriserer dem for skadebehandling,agent,theme,result,
autorisere,tr,nsubj-obj,vi autoriserer advokatene,agent,theme,,
avansere,intr,nsubj,troppene avanserer,theme,,,
avansere-mot,intrObl-oblN,nsubj-obl,troppene avanserer mot byen,agent,destination,,
avansere,tr,nsubj-obj,de avanserer troppene,agent,theme,,
avbalansere,tr,nsubj-obj,maskinen avbalanserer dekkene,cause,patient,,
avbalansere,tr,nsubj-obj,vi avbalanserer dekkene,agent,patient,,
avbestille,tr,nsubj-obj,vi avbestiller billettene,agent,theme,,
avbetale,tr,nsubj-obj,vi avbetaler gjelden,agent,theme,,
avbilde-på,trObl-oblN,nsubj-obj-obl,vi avbilder utviklingen på grafer,agent,theme,destination,
avbilde,tr,nsubj-obj,vi avbilder deltagerne,agent,theme,,
avbinde,tr,nsubj-obj,legene avbinder svulsten,agent,patient,,
avblåse,tr,nsubj-obj,vi avblåser streiken,agent,theme,,
avblåse,tr,nsubj-obj,været avblåser streiken,cause,theme,,
avbolte,tr,nsubj-obj,de avbolter døren,agent,patient,,
avbryte,tr,nsubj-obj,vi avbryter streiken,agent,theme,,
avbryte,tr,nsubj-obj,været avbryter streiken,cause,theme,,
avbøte,tr,nsubj-obj,medisinen avbøter skadene,cause,patient,,
avbøte,tr,nsubj-obj,vi avbøter skadene,agent,patient,,
avbøye,tr,nsubj-obj,apparatet avbøyer strålene,cause,patient,,
avbøye,tr,nsubj-obj,vi avbøyer strålene,agent,patient,,
avdampe,tr,nsubj-obj,varmen avdamper oppløsningen,cause,patient,,
avdampe,tr,nsubj-obj,vi avdamper oppløsningen,agent,patient,,
avdekke,tr,nsubj-obj,vi avdekker årsakene,agent,topic,,
avdele,tr,nsubj-obj,vi avdeler eiendommen,agent,patient,,
avdempe,tr,nsubj-obj,støtdemperen avdemper støtet,cause,patient,,
avdempe,tr,nsubj-obj,vi avdemper støtet,agent,patient,,
avdramatisere,tr,nsubj-obj,vi avdramatiserer hendelsen,agent,theme,,
avdra,tr,nsubj-obj,vi avdrar tilbakebetalingen,agent,theme,,
avdugge,tr,nsubj-obj,de avdugger vinduet,agent,source,,
avdugge,tr,nsubj-obj,viften avdugger vinduet,cause,source,,
avduke,tr,nsubj-obj,vi avduker statuen,agent,theme,,
avertere-for,intrObl-oblN,nsubj-obl,vi averterer for produktet,agent,theme,,
avertere,tr,nsubj-obj,vi averterer hyblene,agent,theme,,
avfarge,tr,nsubj-obj,de avfarger klærne,agent,source,,
avfarge,tr,nsubj-obj,stoffet avfarger klærne,cause,source,,
avfarve,tr,nsubj-obj,de avfarver klærne,agent,source,,
avfarve,tr,nsubj-obj,stoffet avfarver klærne,cause,source,,
avfase,tr,nsubj-obj,slitasjen avfaser kantene,cause,patient,,
avfase,tr,nsubj-obj,vi avfaser kantene,agent,patient,,
avfatte-i,trObl-obRefl-oblN,nsubj-obj-obl,hun avfatter seg i korthet,agent,null-role,attribute,
avfatte,tr,nsubj-obj,vi avfatter et kort svar,agent,result,,
avfeie,tr,nsubj-obj,vi avfeier påstandene,agent,theme,,
avfeie,tr-obDECL,nsubj-ccomp,vi avfeier at det har gått bra,agent,theme,,
avferdige,tr,nsubj-obj,vi avferdiger anmodningen,agent,theme,,
avfette,tr,nsubj-obj,såpen avfetter viften,cause,source,,
avfette,tr,nsubj-obj,vi avfetter viften,agent,source,,
avfinne-med,trObl-obRefl-oblDECL,nsubj-obj-advcl,hun avfinner seg med at svaret er nei,agent,null-role,theme,
avfinne-med,trObl-obRefl-oblEqObInf,nsubj-obj-advcl,hun avfinner seg med å komme i siste rekke,agent,null-role,theme,
avfinne-med,trObl-obRefl-oblINTERR,nsubj-obj-advcl,hun avfinner seg med hva hun blir tilbudt,agent,null-role,theme,
avfinne-med,trObl-obRefl-oblN,nsubj-obj-obl,hun avfinner seg med dette,agent,null-role,theme,
avfolke,tr,nsubj-obj,lovene avfolker bygdene,cause,source,,
avfolke,tr,nsubj-obj,vi avfolker bygdene,agent,source,,
avformatere,tr,nsubj-obj,hun avformaterer dokumentet,agent,source,,
avformatere,tr,nsubj-obj,konverteringen avformaterer dokumentet,cause,source,,
avforsegle,tr,nsubj-obj,handlingen avforsegler brevet,cause,patient,,
avforsegle,tr,nsubj-obj,vi avforsegler brevet,agent,patient,,
avfukte,tr,nsubj-obj,arbeiderne avfukter kjellerveggene,agent,source,,
avfukte,tr,nsubj-obj,maskinen avfukter kjellerveggene,cause,source,,
avfyre,tr,nsubj-obj,vi avfyrer flere skudd,agent,theme,,
avføde,tr,nsubj-obj,dette avføder konsekvenser,cause,theme,,
avføre,ditr-iobRefl,nsubj-iobj-obj,hun avfører seg kostymet,agent,patient,theme,
avføre,tr,nsubj-obj,de avfører teksten,agent,theme,,
avgifte,tr,nsubj-obj,de avgifter blandingen,agent,source,,
avgifte,tr,nsubj-obj,molekylet avgifter blandingen,cause,source,,
avgi,tr,nsubj-obj,stoffet avgir giftig gass,source,theme,,
avgjøre,tr,nsubj-obj,vi avgjør saken,agent,topic,,
avgjøre,tr-obDECL,nsubj-ccomp,vi avgjør at huset bygges,agent,topic,,
avgjøre,tr-obINTERR,nsubj-ccomp,hun avgjør hvem som kommer,agent,topic,,
avgjøre,tr-obINTERR,nsubj-ccomp,kjennelsen avgjør hvem som kommer,pivot,topic,,
avglamorisere,tr,nsubj-obj,endringene avglamoriserer skuespillerbransjen,cause,source,,
avglamorisere,tr,nsubj-obj,hun avglamoriserer skuespillerbransjen,agent,source,,
avglasurere,tr,nsubj-obj,de avglasurerer overflaten,agent,source,,
avglasurere,tr,nsubj-obj,maskinen avglasurerer overflaten,cause,source,,
avgrense,tr,nsubj-obj,skogen avgrenser eiendommen,theme,co-theme,,
avgrense,tr,nsubj-obj,vi avgrenser eiendommen,agent,theme,,
avgrense,tr-obRefl,nsubj-obj,komiteen avgrenser seg,agent,null-role,,
avgrense,tr-obRefl,nsubj-obj,rapporten avgrenser seg,theme,null-role,,
avgå-fra,intrObl-oblN,nsubj-obl,vi avgår fra stillingen,agent,source,,
avgå,intr,nsubj,helseministeren avgår,agent,,,
avheimle,tr,nsubj-obj,vi avheimler prosedyren,agent,theme,,
avhende,tr,nsubj-obj,vi avhender eiendommene,agent,theme,,
avhenge-av,intrOblExpn-expnDECL,expl-obl-csubj,det avhenger av deg at turen går bra,formal,source,theme,
avhenge-av,intrOblExpn-expnINTERRwh,expl-obl-csubj,det avhenger av deg hvem som vil vinne,formal,source,theme,
avhenge-av,intrOblExpn-expnINTERRyn,expl-obl-csubj,det vil avhenge av deg om turen går bra,formal,source,theme,
avhenge-av,intrOblExpn-oblINTERRwh-expnINTERRwh,expl-obl-csubj,det vil avhenge av hvem som kommer hvem som kan delta,formal,source,theme,
avhenge-av,intrOblExpn-oblINTERRwh-expnINTERRyn,expl-obl-csubj,det vil avhenge av hvem som kommer hvorvidt vi får delta,formal,source,theme,
avhenge-av,intrOblExpn-oblINTERRyn-expnINTERRwh,expl-obl-csubj,det vil avhenge av hvorvidt vi deltar hvem som vil vinne,formal,source,theme,
avhenge-av,intrOblExpn-oblINTERRyn-expnINTERRyn,expl-obl-csubj,det vil avhenge av hvorvidt vi deltar om de vil vinne,formal,source,theme,
avhenge-av,intrObl-oblDECL,nsubj-advcl,dette vil avhenge av at været blir bra,source,theme,,
avhenge-av,intrObl-oblEqSuInf,nsubj-advcl,de avhenger av å få nye tilførsler,source,theme,,
avhenge-av,intrObl-oblINTERRwh,nsubj-advcl,utfallet vil avhenge av hvem som kommer,source,theme,,
avhenge-av,intrObl-oblN,nsubj-obl,saken avhenger av deg,source,theme,,
avhenge-av,intrObl-suDECL-oblDECL,csubj-advcl,at han får kjøre vil avhenge av at været blir bra,source,theme,,
avhenge-av,intrObl-suDECL-oblN,csubj-obl,at han får jobb vil avhenge av deg,source,theme,,
avhenge-av,intrObl-suINTERR-oblINTERR,csubj-advcl,hvem som får kjøre vil avhenge av om været blir bra,source,theme,,
avhenge-av,intrObl-suINTERR-oblN,csubj-obl,om han får jobb vil avhenge av deg,source,theme,,
avhente,tr,nsubj-obj,vi avhenter varene,agent,theme,,
avherde,tr,nsubj-obj,kjemikaliene avherder metallet,cause,patient,,
avherde,tr,nsubj-obj,vi avherder metallet,agent,patient,,
avhjelpe,tr,nsubj-obj,bidraget avhjelper nøden,cause,patient,,
avhjelpe,tr,nsubj-obj,vi avhjelper nøden,agent,patient,,
avhjemle,tr,nsubj-obj,vi avhjemler prosedyren,agent,theme,,
avholde-fra,trOblExpnSu-oblEqObInf-expnDECL,expl-obj-advcl-csubj,det avholder oss fra å avbryte at vi bruker munnbind,formal,beneficiary,theme,cause
avholde-fra,trOblExpnSu-oblEqObInf-expnEqObInf,expl-obj-advcl-csubj,det avholder oss fra å avbryte å bruke munnbind,formal,beneficiary,theme,cause
avholde-fra,trOblExpnSu-oblN-expnDECL,expl-obj-obl-csubj,det avholder oss fra avbrytelser at vi bruker munnbind,formal,beneficiary,theme,cause
avholde-fra,trOblExpnSu-oblN-expnEqObInf,expl-obj-obl-csubj,det avholder oss fra avbrytelser å bruke munnbind,formal,beneficiary,theme,cause
avholde-fra,trObl-oblEqObInf,nsubj-obj-advcl,dette avholder ham fra å avbryte,cause,beneficiary,theme,
avholde-fra,trObl-oblN,nsubj-obj-obl,dette avholder ham fra avbrytelser,cause,beneficiary,theme,
avholde-fra,trObl-obRefl-oblEqObInf,nsubj-obj-advcl,hun avholder seg fra å drikke,agent,null-role,theme,
avholde-fra,trObl-obRefl-oblN,nsubj-obj-obl,hun avholder seg fra dette,agent,null-role,theme,
avholde-fra,trObl-suDECL-oblEqObInf,csubj-obj-advmod,at vi bruker munnbind avholder ham fra å avbryte,cause,beneficiary,theme,
avholde-fra,trObl-suDECL-oblN,csubj-obj-obl,at vi bruker munnbind avholder ham fra avbrytelser,cause,beneficiary,theme,
avholde-fra,trObl-suEqObInf-oblEqObInf,csubj-obj-advmod,å bruke munnbind avholder oss fra å avbryte,cause,beneficiary,theme,
avholde-fra,trObl-suEqObInf-oblN,csubj-obj-obl,å bruke munnbind avholder oss fra avbrytelser,cause,beneficiary,theme,
avholde,tr,nsubj-obj,vi avholder årsmøtet,agent,theme,,
avhumanisere,tr,nsubj-obj,politikken avhumaniserer samfunnet,cause,patient,,
avhumanisere,tr,nsubj-obj,skribenten avhumaniserer samfunnet,agent,patient,,
